Date,Type,Term,Alert_File
20141217,emergence,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20141217-emergence-transitory.json
20150128,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20150128-removal-considerable_time.json
20150318,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20150318-removal-considerable_time.json
20150318,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20150318-removal-patient.json
20150429,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20150429-removal-patient.json
20151216,emergence,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20151216-emergence-patient.json
20161214,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20161214-emergence-accommodative.json
20161214,emergence,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20161214-emergence-transitory.json
20170201,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170201-emergence-accommodative.json
20170201,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170201-removal-transitory.json
20170614,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170614-emergence-accommodative.json
20170614,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170614-removal-transitory.json
20170726,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170726-removal-considerable_time.json
20170726,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170726-removal-full_range_of_tools.json
20170726,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170726-removal-transitory.json
20170920,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170920-emergence-accommodative.json
20170920,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170920-removal-full_range_of_tools.json
20170920,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20170920-removal-transitory.json
20171213,emergence,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20171213-emergence-accommodative.json
20180321,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180321-removal-transitory.json
20180502,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180502-removal-transitory.json
20180613,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180613-removal-transitory.json
20180801,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180801-removal-transitory.json
20180926,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180926-removal-accommodative.json
20180926,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20180926-removal-transitory.json
20181108,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20181108-removal-accommodative.json
20181108,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20181108-removal-transitory.json
20181219,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20181219-removal-accommodative.json
20181219,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20181219-removal-transitory.json
20190130,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190130-removal-accommodative.json
20190130,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190130-removal-transitory.json
20190320,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190320-removal-accommodative.json
20190320,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190320-removal-full_range_of_tools.json
20190320,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190320-removal-transitory.json
20190619,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190619-removal-accommodative.json
20190619,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190619-removal-patient.json
20190731,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190731-removal-accommodative.json
20190731,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190731-removal-patient.json
20190731,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190731-removal-transitory.json
20190918,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190918-removal-accommodative.json
20190918,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190918-removal-patient.json
20190918,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20190918-removal-transitory.json
20191211,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20191211-removal-accommodative.json
20191211,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20191211-removal-patient.json
20191211,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20191211-removal-transitory.json
20200129,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200129-removal-accommodative.json
20200129,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200129-removal-patient.json
20200129,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200129-removal-transitory.json
20200303,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200303-removal-accommodative.json
20200303,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200303-removal-considerable_time.json
20200303,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200303-removal-patient.json
20200303,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200303-removal-transitory.json
20200315,emergence,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200315-emergence-full_range_of_tools.json
20200315,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200315-removal-considerable_time.json
20200315,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200315-removal-patient.json
20200315,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200315-removal-transitory.json
20200318,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200318-removal-accommodative.json
20200429,emergence,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200429-emergence-patient.json
20200429,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200429-removal-accommodative.json
20200429,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200429-removal-full_range_of_tools.json
20200429,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200429-removal-patient.json
20200429,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200429-removal-transitory.json
20200610,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200610-removal-accommodative.json
20200610,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200610-removal-patient.json
20200610,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200610-removal-transitory.json
20200729,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200729-removal-accommodative.json
20200729,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200729-removal-considerable_time.json
20200729,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200729-removal-patient.json
20200729,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200729-removal-transitory.json
20200916,removal,considerable_time,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200916-removal-considerable_time.json
20200916,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200916-removal-patient.json
20200916,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20200916-removal-transitory.json
20201105,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20201105-removal-patient.json
20201105,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20201105-removal-transitory.json
20201216,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20201216-removal-patient.json
20201216,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20201216-removal-transitory.json
20210127,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210127-removal-patient.json
20210127,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210127-removal-transitory.json
20210317,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210317-removal-patient.json
20210317,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210317-removal-transitory.json
20210428,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210428-removal-patient.json
20210616,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210616-removal-patient.json
20210728,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210728-removal-patient.json
20210922,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20210922-removal-patient.json
20211103,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20211103-removal-patient.json
20211215,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20211215-removal-patient.json
20211215,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20211215-removal-transitory.json
20220126,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220126-removal-full_range_of_tools.json
20220126,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220126-removal-patient.json
20220126,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220126-removal-transitory.json
20220316,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220316-removal-accommodative.json
20220316,removal,full_range_of_tools,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220316-removal-full_range_of_tools.json
20220316,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220316-removal-patient.json
20220316,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220316-removal-transitory.json
20220504,removal,accommodative,/mnt/c/python/FedSpeak/results/alerts/ALERT-20220504-removal-accommodative.json
20230322,removal,patient,/mnt/c/python/FedSpeak/results/alerts/ALERT-20230322-removal-patient.json
20230322,removal,transitory,/mnt/c/python/FedSpeak/results/alerts/ALERT-20230322-removal-transitory.json
