date,label,doc_type,word,count,present,expected_status,filepath,datetime,year_month,shift_status
20170201,Feb 2017,policy_statement,accommodative,2,True,before,data/processed/policy_statement_20170201.html.txt,2017-02-01,2017-02,before
20170614,Jun 2017,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20170614.html.txt,2017-06-14,2017-06,before
20170614,Jun 2017,fomc_minutes,accommodative,8,True,before,data/processed/fomc_minutes_20170614.html.txt,2017-06-14,2017-06,before
20170920,Sep 2017,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20170920.html.txt,2017-09-20,2017-09,before
20171213,Dec 2017,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20171213.html.txt,2017-12-13,2017-12,before
20171213,Dec 2017,fomc_minutes,accommodative,7,True,before,data/processed/fomc_minutes_20171213.html.txt,2017-12-13,2017-12,before
20180131,Jan 2018,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20180131.html.txt,2018-01-31,2018-01,before
20180321,Mar 2018,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20180321.html.txt,2018-03-21,2018-03,before
20180321,Mar 2018,fomc_minutes,accommodative,12,True,before,data/processed/fomc_minutes_20180321.html.txt,2018-03-21,2018-03,before
20180613,Jun 2018,policy_statement,accommodative,1,True,before,data/processed/policy_statement_20180613.html.txt,2018-06-13,2018-06,before
20180613,Jun 2018,fomc_minutes,accommodative,7,True,before,data/processed/fomc_minutes_20180613.html.txt,2018-06-13,2018-06,before
20180926,Sep 2018,policy_statement,accommodative,0,False,after - REMOVED,data/processed/policy_statement_20180926.html.txt,2018-09-26,2018-09,after
20180926,Sep 2018,fomc_minutes,accommodative,11,True,after - REMOVED,data/processed/fomc_minutes_20180926.html.txt,2018-09-26,2018-09,after
20181219,Dec 2018,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20181219.html.txt,2018-12-19,2018-12,after
20181219,Dec 2018,fomc_minutes,accommodative,5,True,after,data/processed/fomc_minutes_20181219.html.txt,2018-12-19,2018-12,after
20190130,Jan 2019,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20190130.html.txt,2019-01-30,2019-01,after
20190130,Jan 2019,fomc_minutes,accommodative,4,True,after,data/processed/fomc_minutes_20190130.html.txt,2019-01-30,2019-01,after
20190320,Mar 2019,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20190320.html.txt,2019-03-20,2019-03,after
20190619,Jun 2019,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20190619.html.txt,2019-06-19,2019-06,after
20190619,Jun 2019,fomc_minutes,accommodative,7,True,after,data/processed/fomc_minutes_20190619.html.txt,2019-06-19,2019-06,after
20190918,Sep 2019,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20190918.html.txt,2019-09-18,2019-09,after
20191211,Dec 2019,policy_statement,accommodative,0,False,after,data/processed/policy_statement_20191211.html.txt,2019-12-11,2019-12,after
20191211,Dec 2019,fomc_minutes,accommodative,5,True,after,data/processed/fomc_minutes_20191211.html.txt,2019-12-11,2019-12,after
